word, event, baseline, diff
police,1.3559,0.0221,1.3338
attack,1.1778,0.0210,1.1569
westminster,0.9087,0.0024,0.9063
london,0.8012,0.0100,0.7912
people,0.7142,0.2264,0.4878
parliament,0.5560,0.0020,0.5541
masood,0.4684,0.0000,0.4684
bridge,0.4444,0.0113,0.4331
one,0.4294,0.4176,0.0118
man,0.3403,0.1414,0.1989
may,0.3287,0.1716,0.1571
security,0.3191,0.0676,0.2515
officer,0.3191,0.0111,0.3080
attacker,0.3177,0.0008,0.3169
terrorist,0.3027,0.0036,0.2991
us,0.2903,0.1807,0.1096
two,0.2856,0.1730,0.1126
terror,0.2835,0.0109,0.2726
incident,0.2828,0.0052,0.2776
car,0.2787,0.0294,0.2493
would,0.2767,0.3302,-0.0535
injured,0.2691,0.0024,0.2667
palmer,0.2547,0.0060,0.2488
told,0.2499,0.0457,0.2043
terrorism,0.2397,0.0028,0.2368
officers,0.2397,0.0117,0.2279
british,0.2315,0.0131,0.2184
killed,0.2294,0.0095,0.2199
minister,0.2184,0.0075,0.2109
outside,0.2095,0.0244,0.1851
including,0.2000,0.0286,0.1714
services,0.1965,0.0250,0.1715
three,0.1876,0.0783,0.1094
victims,0.1869,0.0051,0.1818
woman,0.1869,0.0262,0.1608
years,0.1828,0.1864,-0.0035
attacks,0.1828,0.0037,0.1792
first,0.1808,0.1898,-0.0090
armed,0.1794,0.0161,0.1633
house,0.1794,0.0770,0.1024
public,0.1767,0.0744,0.1023
time,0.1753,0.2357,-0.0604
keith,0.1712,0.0023,0.1689
2017,0.1698,0.0000,0.1698
shot,0.1691,0.0127,0.1565
pc,0.1691,0.0000,0.1691
wednesday,0.1678,0.0041,0.1637
birmingham,0.1671,0.0017,0.1654
today,0.1671,0.0683,0.0988
day,0.1643,0.0907,0.0736
around,0.1596,0.0691,0.0904
khalid,0.1582,0.0002,0.1580
march,0.1582,0.0161,0.1421
like,0.1575,0.1546,0.0029
britain,0.1575,0.0071,0.1504
four,0.1548,0.0486,0.1062
manchester,0.1548,0.0047,0.1500
new,0.1548,0.2880,-0.1332
arrested,0.1548,0.0026,0.1521
hospital,0.1534,0.0152,0.1382
uk,0.1520,0.0001,0.1519
statement,0.1520,0.0157,0.1363
many,0.1513,0.1577,-0.0063
family,0.1507,0.0533,0.0973
city,0.1493,0.0471,0.1021
government,0.1479,0.1455,0.0024
last,0.1472,0.1188,0.0284
emergency,0.1465,0.0093,0.1372
muslim,0.1452,0.0007,0.1444
islamic,0.1445,0.0014,0.1431
prime,0.1431,0.0067,0.1364
palace,0.1424,0.0042,0.1382
way,0.1418,0.1278,0.0139
metropolitan,0.1411,0.0048,0.1362
number,0.1397,0.0610,0.0787
scene,0.1383,0.0124,0.1260
died,0.1383,0.0108,0.1275
work,0.1356,0.1430,-0.0074
pm,0.1356,0.0003,0.1353
thursday,0.1335,0.0036,0.1300
images,0.1335,0.0040,0.1296
n't,0.1308,0.0000,0.1308
houses,0.1301,0.0104,0.1197
pedestrians,0.1294,0.0002,0.1292
home,0.1294,0.0871,0.0424
posted,0.1287,0.0014,0.1274
investigation,0.1281,0.0065,0.1216
never,0.1233,0.0966,0.0267
released,0.1226,0.0045,0.1181
known,0.1226,0.0290,0.0936
know,0.1219,0.1152,0.0067
stabbed,0.1198,0.0002,0.1196
others,0.1185,0.0482,0.0703
bbc,0.1185,0.0000,0.1185
made,0.1185,0.1521,-0.0336
dead,0.1178,0.0196,0.0982
later,0.1164,0.0460,0.0704
rowley,0.1157,0.0003,0.1154
members,0.1150,0.0520,0.0631
left,0.1123,0.0565,0.0558
support,0.1116,0.0518,0.0599
following,0.1116,0.0272,0.0844
confirmed,0.1109,0.0029,0.1080
life,0.1103,0.1045,0.0057
saw,0.1089,0.0406,0.0682
used,0.1089,0.0729,0.0360
commons,0.1089,0.0005,0.1084
theresa,0.1082,0.0026,0.1056
isis,0.1075,0.0002,0.1073
vehicle,0.1075,0.0040,0.1035
22,0.1075,0.0063,0.1012
still,0.1068,0.1116,-0.0047
media,0.1061,0.0023,0.1038
mar,0.1061,0.0007,0.1054
group,0.1055,0.0450,0.0604
according,0.1055,0.0150,0.0905
mr,0.1055,0.0144,0.0911
year,0.1048,0.1848,-0.0800
state,0.1048,0.1276,-0.0228
going,0.1041,0.0550,0.0491
part,0.1027,0.0728,0.0299
place,0.1020,0.0727,0.0293
across,0.1013,0.0400,0.0613
added,0.1013,0.0200,0.0813
morning,0.1000,0.0230,0.0769
called,0.1000,0.0499,0.0501
reports,0.0993,0.0101,0.0892
country,0.0993,0.0866,0.0127
service,0.0986,0.0490,0.0496
injuries,0.0986,0.0014,0.0972
another,0.0979,0.0876,0.0103
staff,0.0979,0.0131,0.0848
buzzfeed,0.0979,0.0000,0.0979
yesterday,0.0972,0.0105,0.0868
say,0.0966,0.0774,0.0191
world,0.0966,0.2096,-0.1131
met,0.0966,0.0201,0.0764
seen,0.0959,0.0355,0.0604
five,0.0952,0.0370,0.0582
knife,0.0952,0.0082,0.0870
says,0.0952,0.0227,0.0725
islam,0.0945,0.0009,0.0936
together,0.0938,0.0661,0.0277
pa,0.0938,0.0025,0.0913
area,0.0931,0.0397,0.0534
near,0.0931,0.0238,0.0694
back,0.0931,0.1206,-0.0274
took,0.0931,0.0500,0.0432
make,0.0918,0.1507,-0.0590
school,0.0918,0.0702,0.0216
see,0.0911,0.0993,-0.0082
south,0.0911,0.0322,0.0589
death,0.0904,0.0329,0.0575
children,0.0904,0.0801,0.0103
tribute,0.0904,0.0041,0.0863
getty,0.0904,0.0000,0.0904
least,0.0883,0.0414,0.0470
working,0.0877,0.0388,0.0489
taken,0.0877,0.0390,0.0487
think,0.0877,0.0606,0.0271
remain,0.0877,0.0202,0.0674
right,0.0870,0.0965,-0.0095
information,0.0870,0.0338,0.0531
leader,0.0870,0.0118,0.0751
believed,0.0863,0.0093,0.0770
name,0.0863,0.0327,0.0536
intelligence,0.0863,0.0089,0.0774
mps,0.0856,0.0000,0.0856
help,0.0856,0.0921,-0.0065
since,0.0856,0.0844,0.0012
square,0.0849,0.0154,0.0695
adrian,0.0842,0.0005,0.0837
get,0.0829,0.0975,-0.0147
must,0.0822,0.2706,-0.1884
former,0.0815,0.0172,0.0643
well,0.0815,0.1308,-0.0494
response,0.0815,0.0113,0.0702
came,0.0808,0.0711,0.0097
described,0.0808,0.0134,0.0674
even,0.0801,0.1456,-0.0655
policeman,0.0801,0.0026,0.0775
values,0.0794,0.0293,0.0501
commissioner,0.0794,0.0021,0.0773
treated,0.0788,0.0088,0.0700
named,0.0774,0.0095,0.0678
mp,0.0774,0.0000,0.0774
several,0.0767,0.0460,0.0307
person,0.0760,0.0229,0.0531
video,0.0760,0.0014,0.0746
heard,0.0760,0.0289,0.0471
inside,0.0753,0.0194,0.0559
alone,0.0753,0.0314,0.0439
need,0.0753,0.0829,-0.0075
went,0.0753,0.0552,0.0201
mark,0.0753,0.0104,0.0650
men,0.0740,0.1043,-0.0304
want,0.0733,0.0617,0.0116
believe,0.0733,0.0487,0.0246
acts,0.0733,0.0063,0.0670
yard,0.0726,0.0039,0.0687
earlier,0.0726,0.0184,0.0541
night,0.0726,0.0463,0.0263
born,0.0726,0.0153,0.0573
east,0.0719,0.0310,0.0409
terrorists,0.0719,0.0074,0.0645
west,0.0719,0.0285,0.0434
come,0.0719,0.0942,-0.0223
events,0.0719,0.0147,0.0572
whether,0.0719,0.0382,0.0337
muslims,0.0712,0.0003,0.0709
happened,0.0712,0.0174,0.0538
united,0.0712,0.1040,-0.0328
show,0.0705,0.0357,0.0348
friday,0.0705,0.0064,0.0641
road,0.0692,0.0251,0.0440
reuters,0.0692,0.0000,0.0692
friends,0.0685,0.0281,0.0404
among,0.0685,0.0554,0.0131
days,0.0685,0.0510,0.0175
picture,0.0685,0.0183,0.0501
much,0.0678,0.1236,-0.0558
secretary,0.0678,0.0258,0.0420
away,0.0678,0.0560,0.0117
acted,0.0671,0.0030,0.0641
within,0.0671,0.0516,0.0155
street,0.0671,0.0274,0.0397
families,0.0664,0.0315,0.0349
islamist,0.0664,0.0001,0.0663
everyone,0.0664,0.0147,0.0518
got,0.0657,0.0563,0.0095
major,0.0651,0.0457,0.0194
democracy,0.0651,0.0149,0.0502
someone,0.0651,0.0118,0.0532
act,0.0644,0.0633,0.0011
face,0.0644,0.0534,0.0109
scotland,0.0644,0.0014,0.0630
close,0.0644,0.0289,0.0355
threat,0.0644,0.0149,0.0495
towards,0.0637,0.0076,0.0560
claimed,0.0637,0.0040,0.0597
go,0.0637,0.0887,-0.0250
mi5,0.0637,0.0000,0.0637
stand,0.0637,0.0285,0.0352
capital,0.0637,0.0175,0.0462
ap,0.0630,0.0016,0.0614
lives,0.0630,0.0267,0.0363
really,0.0630,0.0346,0.0284
ambulance,0.0623,0.0007,0.0616
every,0.0623,0.1206,-0.0583
times,0.0623,0.0423,0.0200
hours,0.0616,0.0223,0.0393
drove,0.0616,0.0066,0.0550
identified,0.0616,0.0052,0.0564
ran,0.0616,0.0149,0.0468
six,0.0616,0.0264,0.0352
carried,0.0616,0.0157,0.0459
take,0.0609,0.0912,-0.0303
ago,0.0609,0.0477,0.0133
saying,0.0603,0.0141,0.0461
prison,0.0603,0.0063,0.0540
parliamentary,0.0603,0.0010,0.0592
wife,0.0596,0.0252,0.0343
continue,0.0589,0.0463,0.0126
past,0.0589,0.0554,0.0035
cochran,0.0589,0.0001,0.0588
report,0.0589,0.0288,0.0301
deputy,0.0589,0.0019,0.0570
kurt,0.0582,0.0002,0.0580
khan,0.0582,0.0003,0.0579
violent,0.0582,0.0064,0.0518
hit,0.0582,0.0131,0.0451
image,0.0575,0.0134,0.0441
found,0.0575,0.0637,-0.0062
address,0.0568,0.0190,0.0379
arrests,0.0568,0.0003,0.0565
evidence,0.0568,0.0250,0.0318
extremism,0.0562,0.0003,0.0558
reported,0.0555,0.0140,0.0414
lived,0.0555,0.0141,0.0413
thoughts,0.0555,0.0059,0.0496
international,0.0555,0.0357,0.0197
custody,0.0555,0.0005,0.0549
bravery,0.0548,0.0015,0.0533
river,0.0548,0.0193,0.0355
call,0.0548,0.0283,0.0265
frade,0.0548,0.0000,0.0548
mother,0.0548,0.0247,0.0301
week,0.0548,0.0331,0.0217
women,0.0548,0.0356,0.0192
possible,0.0541,0.0553,-0.0012
always,0.0541,0.0633,-0.0092
community,0.0541,0.0443,0.0098
use,0.0541,0.0867,-0.0326
member,0.0541,0.0179,0.0362
high,0.0534,0.0775,-0.0241
mayor,0.0534,0.0048,0.0486
months,0.0534,0.0333,0.0201
central,0.0534,0.0216,0.0318
event,0.0534,0.0096,0.0438
lost,0.0534,0.0233,0.0302
national,0.0534,0.0919,-0.0385
acting,0.0534,0.0079,0.0456
court,0.0534,0.0265,0.0269
assailant,0.0534,0.0003,0.0531
side,0.0527,0.0456,0.0072
asked,0.0527,0.0474,0.0054
put,0.0527,0.0611,-0.0083
held,0.0527,0.0330,0.0197
ellwood,0.0527,0.0001,0.0526
french,0.0527,0.0148,0.0380
paid,0.0527,0.0191,0.0337
40,0.0527,0.0094,0.0433
head,0.0527,0.0477,0.0051
love,0.0520,0.0283,0.0238
suspicion,0.0520,0.0035,0.0486
england,0.0520,0.0162,0.0358
details,0.0520,0.0066,0.0454
safety,0.0520,0.0127,0.0394
speaking,0.0520,0.0074,0.0446
gates,0.0520,0.0024,0.0496
press,0.0520,0.0166,0.0355
seven,0.0514,0.0148,0.0366
authorities,0.0514,0.0063,0.0451
suspect,0.0514,0.0034,0.0480
normal,0.0514,0.0156,0.0357
minutes,0.0514,0.0207,0.0306
however,0.0514,0.0676,-0.0162
read,0.0507,0.0211,0.0296
remains,0.0507,0.0140,0.0366
trump,0.0507,0.0002,0.0505
elms,0.0500,0.0001,0.0499
investigated,0.0500,0.0020,0.0480
2015,0.0500,0.0000,0.0500
husband,0.0500,0.0145,0.0355
facebook,0.0500,0.0000,0.0500
thought,0.0500,0.0573,-0.0073
afternoon,0.0493,0.0116,0.0377
gave,0.0493,0.0325,0.0168
senior,0.0493,0.0054,0.0439
let,0.0486,0.0895,-0.0408
safe,0.0486,0.0116,0.0370
making,0.0486,0.0417,0.0069
foreign,0.0486,0.0357,0.0129
hate,0.0486,0.0064,0.0422
message,0.0479,0.0199,0.0280
online,0.0479,0.0000,0.0479
american,0.0479,0.1421,-0.0941
ground,0.0473,0.0230,0.0242
along,0.0473,0.0435,0.0038
victim,0.0473,0.0037,0.0436
arena,0.0473,0.0010,0.0462
killing,0.0473,0.0031,0.0441
big,0.0473,0.0440,0.0033
college,0.0473,0.0368,0.0105
case,0.0466,0.0408,0.0058
full,0.0466,0.0483,-0.0017
next,0.0466,0.0714,-0.0249
look,0.0466,0.0536,-0.0071
began,0.0466,0.0381,0.0084
end,0.0466,0.0647,-0.0182
action,0.0466,0.0532,-0.0067
without,0.0466,0.0880,-0.0414
alleged,0.0466,0.0012,0.0454
september,0.0466,0.0110,0.0356
site,0.0459,0.0071,0.0388
office,0.0459,0.0360,0.0098
social,0.0459,0.0647,-0.0189
streets,0.0459,0.0101,0.0358
channel,0.0459,0.0021,0.0438
aysha,0.0459,0.0000,0.0459
serious,0.0459,0.0212,0.0247
far,0.0459,0.0642,-0.0183
best,0.0452,0.0600,-0.0148
twitter,0.0452,0.0001,0.0451
londoners,0.0452,0.0000,0.0452
human,0.0452,0.0519,-0.0067
10,0.0452,0.0305,0.0147
political,0.0452,0.0381,0.0071
hall,0.0452,0.0169,0.0283
counter-terrorism,0.0445,0.0000,0.0445
pavement,0.0445,0.0013,0.0433
large,0.0445,0.0493,-0.0048
law,0.0445,0.0521,-0.0076
air,0.0445,0.0356,0.0089
shows,0.0445,0.0114,0.0331
building,0.0445,0.0283,0.0162
4,0.0445,0.0334,0.0111
criminal,0.0445,0.0039,0.0406
walking,0.0445,0.0063,0.0382
actions,0.0445,0.0130,0.0315
solidarity,0.0438,0.0018,0.0420
society,0.0438,0.0364,0.0075
affected,0.0438,0.0051,0.0387
early,0.0438,0.0447,-0.0009
labour,0.0438,0.0005,0.0433
president,0.0438,0.0854,-0.0416
ajao,0.0438,0.0000,0.0438
rhodes,0.0438,0.0010,0.0428
point,0.0438,0.0503,-0.0065
april,0.0438,0.0094,0.0344
open,0.0431,0.0444,-0.0013
great,0.0431,0.1235,-0.0804
live,0.0431,0.0334,0.0097
tried,0.0431,0.0208,0.0223
pay,0.0431,0.0370,0.0062
students,0.0431,0.0279,0.0153
23,0.0431,0.0063,0.0369
white,0.0431,0.0446,-0.0015
long,0.0431,0.1154,-0.0723
thames,0.0431,0.0003,0.0428
second,0.0425,0.0544,-0.0119
st,0.0425,0.0008,0.0416
teacher,0.0425,0.0104,0.0321
heart,0.0425,0.0246,0.0178
station,0.0425,0.0126,0.0299
stop,0.0425,0.0218,0.0207
something,0.0425,0.0559,-0.0135
june,0.0425,0.0154,0.0271
data,0.0418,0.0190,0.0228
david,0.0418,0.0062,0.0356
order,0.0418,0.0504,-0.0086
page,0.0418,0.0081,0.0337
24,0.0418,0.0061,0.0357
given,0.0418,0.0483,-0.0065
stopped,0.0411,0.0166,0.0245
syria,0.0411,0.0005,0.0406
stabbing,0.0411,0.0001,0.0410
thank,0.0411,0.0186,0.0224
although,0.0411,0.0361,0.0049
already,0.0411,0.0485,-0.0074
communities,0.0411,0.0174,0.0237
english,0.0411,0.0213,0.0198
current,0.0404,0.0188,0.0217
condition,0.0404,0.0113,0.0291
colleagues,0.0404,0.0038,0.0366
inspired,0.0404,0.0030,0.0374
father,0.0404,0.0204,0.0200
responsibility,0.0404,0.0349,0.0055
recent,0.0397,0.0278,0.0120
forces,0.0397,0.0439,-0.0042
friend,0.0397,0.0162,0.0235
using,0.0397,0.0180,0.0217
rudd,0.0397,0.0001,0.0396
policing,0.0397,0.0010,0.0387
ongoing,0.0397,0.0005,0.0392
eight,0.0397,0.0129,0.0268
russell,0.0397,0.0017,0.0380
worked,0.0390,0.0191,0.0200
connection,0.0390,0.0086,0.0304
allow,0.0390,0.0120,0.0270
deeply,0.0390,0.0066,0.0324
article,0.0390,0.0072,0.0318
front,0.0390,0.0249,0.0141
preparation,0.0390,0.0066,0.0324
understand,0.0390,0.0190,0.0201
50,0.0390,0.0145,0.0246
jeremy,0.0390,0.0001,0.0389
november,0.0383,0.0091,0.0292
offences,0.0383,0.0001,0.0382
yet,0.0383,0.0613,-0.0229
different,0.0383,0.0392,-0.0008
running,0.0383,0.0145,0.0239
please,0.0383,0.0088,0.0295
quickly,0.0383,0.0134,0.0249
difficult,0.0383,0.0228,0.0155
young,0.0377,0.0530,-0.0153
condolences,0.0377,0.0003,0.0373
sadiq,0.0377,0.0000,0.0377
remember,0.0377,0.0220,0.0157
living,0.0377,0.0349,0.0028
politicians,0.0377,0.0022,0.0355
critical,0.0377,0.0111,0.0266
violence,0.0377,0.0106,0.0271
meeting,0.0377,0.0229,0.0147
understood,0.0377,0.0068,0.0309
july,0.0377,0.0094,0.0282
sense,0.0370,0.0408,-0.0038
subject,0.0370,0.0198,0.0172
france,0.0370,0.0091,0.0279
general,0.0370,0.0637,-0.0267
share,0.0370,0.0229,0.0140
taking,0.0370,0.0238,0.0132
looked,0.0370,0.0400,-0.0030
set,0.0363,0.0548,-0.0185
move,0.0363,0.0314,0.0049
searches,0.0363,0.0003,0.0360
anniversary,0.0363,0.0032,0.0330
received,0.0363,0.0199,0.0164
fight,0.0363,0.0218,0.0145
conservative,0.0363,0.0039,0.0324
able,0.0363,0.0353,0.0010
policy,0.0363,0.0480,-0.0117
find,0.0363,0.0527,-0.0164
mowed,0.0363,0.0001,0.0362
